ConfJournal_id,nom,chercheur_id,type,periodicite,lien
ijbis,Int. J. Bus. Inf. Syst.,,Journal,,https://dblp.org/db/journals/ijbis/ijbis29.html#AissaANC18
jdiq,ACM J. Data Inf. Qual.,,Journal,,https://dblp.org/db/journals/jdiq/jdiq8.html#AbdellaouiNC17
edbt,EDBT/ICDT Workshops,,Conference,,https://dblp.org/db/conf/edbt/edbtw2017.html#ChouderRC17
soca,Serv. Oriented Comput. Appl.,,Journal,,https://dblp.org/db/journals/soca/soca10.html#BoumahdiCGG16
ijmso,Int. J. Metadata Semant. Ontologies,,Journal,,https://dblp.org/db/journals/ijmso/ijmso10.html#FarehBC15
ciia,CIIA,,Conference,,https://dblp.org/db/conf/ciia/ciia2015.html#ChouderCS15
icalt,ICALT,,Conference,,https://dblp.org/db/conf/icalt/icalt2015.html#MokeddemDR15
ijssoe,Int. J. Syst. Serv. Oriented Eng.,,Journal,,https://dblp.org/db/journals/ijssoe/ijssoe4.html#BoumahdiC14
jdim,J. Digit. Inf. Manag.,,Journal,,https://dblp.org/db/journals/jdim/jdim12.html#OuaretCB14
aiccsa,AICCSA,,Conference,,https://dblp.org/db/conf/aiccsa/aiccsa2014.html#OuaretBC14
icdim,ICDIM,,Conference,,https://dblp.org/db/conf/icdim/icdim2014.html#OuaretBC14
corr,CoRR,,Journal,,https://dblp.org/db/journals/corr/corr1401.html#BoumahdiC14
ijicot,Int. J. Inf. Coding Theory,,Journal,,https://dblp.org/db/journals/ijicot/ijicot2.html#OuaretCB13
kes,KES,,Conference,,https://dblp.org/db/conf/kes/kes2013.html#BoumahdiC13
sci,Modeling Approaches and Algorithms for Advanced Computer Applications,,Conference,,https://dblp.org/db/series/sci/sci488.html#FarehBC13
ecs,Egypt. Comput. Sci. J.,,Journal,,https://dblp.org/db/journals/ecs/ecs29.html#GhomariCA07
ijgs,Int. J. Gen. Syst.,,Journal,,https://dblp.org/db/journals/ijgs/ijgs53.html#KerkacheST24
mta,Multim. Tools Appl.,,Journal,,https://dblp.org/db/journals/mta/mta83.html#KerkacheST24
icaart,ICAART (3),,Conference,,https://dblp.org/db/conf/icaart/icaart2024-3.html#BoukabeneTD24
corr,CoRR,,Journal,,https://dblp.org/db/journals/corr/corr2403.html#abs-2403-11522
algorithms,Algorithms,,Journal,,https://dblp.org/db/journals/algorithms/algorithms16.html#TouafekTL23
asc,Appl. Soft Comput.,,Journal,,https://dblp.org/db/journals/asc/asc144.html#LaidouiBT23
ngc,New Gener. Comput.,,Journal,,https://dblp.org/db/journals/ngc/ngc41.html#KerkacheST23
iccci,ICCCI (CCIS Volume),,Conference,,https://dblp.org/db/conf/iccci/iccci2023ccis.html#CherreredMBT23
kes,KES,,Conference,,https://dblp.org/db/conf/kes/kes2023.html#BachaTB23
webist,WEBIST,,Conference,,https://dblp.org/db/conf/webist/webist2023.html#BoukabeneTD23
ijmr,Int. J. Manuf. Res.,,Journal,,https://dblp.org/db/journals/ijmr/ijmr17.html#TouatTB22
