ConfJournal_id,titre_publication,chercheur_id,date_publication,lien,nombre_pages,nombre_volumes
algorithms,A Reinforcing-Learning-Driven Artificial Bee Colony Algorithm for Scheduling Jobs and Flexible Maintenance under Learning and Deteriorating Effects.,2000018,2023,https://dblp.org/rec/journals/algorithms/TouafekTL23,397,16
asc,A game-theoretical constructive approach for the multi-objective frequency assignment problem.,2000018,2023,https://dblp.org/rec/journals/asc/LaidouiBT23,110444,144
ngc,Similarity-Based Hybrid Algorithms for Link Prediction Problem in Social Networks.,2000018,2023,https://dblp.org/rec/journals/ngc/KerkacheST23,281-314,41
iccci,A Fitness Approximation Assisted Hyper-heuristic for the Permutation Flowshop Problem.,2000018,2023,https://dblp.org/rec/conf/iccci/CherreredMBT23,534-545,
kes,An Analysis of Effective Per-instance Tailored GAs for the Permutation Flowshop Scheduling Problem.,2000018,2023,https://dblp.org/rec/conf/kes/BachaTB23,3958-3966,
kes,Fitness Approximation Surrogate-assisted Hyper-heuristic for the Permutation Flowshop Problem.,2000018,2023,https://dblp.org/rec/conf/kes/MekkiCTB23,4043-4054,
webist,Improved Random Key Cuckoo Search Optimization Algorithm for Community Detection in Social Networks.,2000018,2023,https://dblp.org/rec/conf/webist/BoukabeneTD23,113-120,
webist,A Novel Hybrid Approach Combining Beam Search and DeepWalk for Community Detection in Social Networks.,2000018,2023,https://dblp.org/rec/conf/webist/BerricheNYABCTB23,454-463,
asc,Adaptive search space to generate a per-instance genetic algorithm for the permutation flow shop problem.,2000018,2022,https://dblp.org/rec/journals/asc/BachaBT22,109079,124
ijmr,Exact and metaheuristic approaches for the single-machine scheduling problem with flexible maintenance under human resource constraints.,2000018,2022,https://dblp.org/rec/journals/ijmr/TouatTB22,22-58,17
asunam,A Hybrid Artificial Bee Colony Algorithm with Simulated Annealing for Enhanced Community Detection in Social Networks.,2000018,2022,https://dblp.org/rec/conf/asunam/DakicheBTSB22,104-108,
cc,Caviar: an e-graph based TRS for automatic code optimization.,2000018,2022,https://dblp.org/rec/conf/cc/KourtaNTHCLB22,54-64,
csa3,Supervised Learning Using Community Detection for Link Prediction.,2000018,2022,https://dblp.org/rec/conf/csa3/KerkacheSTA22,85-94,
icaart,A Constraint Programming Model for the Scheduling Problem with Flexible Maintenance under Human Resource Constraints.,2000018,2022,https://dblp.org/rec/conf/icaart/TouatBT22,195-202,
iccci,An Integrated Artificial Bee Colony Algorithm for Scheduling Jobs and Flexible Maintenance with Learning and Deteriorating Effects.,2000018,2022,https://dblp.org/rec/conf/iccci/TouafekTLDB22,647-659,
kes,"Permutation Flowshop Scheduling Problem Considering Learning, Deteriorating Effects and Flexible Maintenance.",2000018,2022,https://dblp.org/rec/conf/kes/TouafekLTDB22,2518-2525,
corr,Progress Report: A Deep Learning Guided Exploration of Affine Unimodular Loop Transformations.,2000018,2022,https://dblp.org/rec/journals/corr/abs-2206-03684,,abs/2206.03684
ngc,Tailored Network Splitting for Community Evolution Prediction in Dynamic Social Networks.,2000018,2021,https://dblp.org/rec/journals/ngc/DakicheTBS21,303-340,39
simultech,EPredictor: An Experimental Platform for Community Evolution Prediction Tests.,2000018,2021,https://dblp.org/rec/conf/simultech/DakicheTBSKC21,295-302,
webist,Impact of Tailored Network Splitting and Community Features' Change Rates on Prediction Accuracy in Dynamic Social Networks.,2000018,2021,https://dblp.org/rec/conf/webist/DakicheBTS21,95-102,
corr,Caviar: An E-graph Based TRS for Automatic Code Optimization.,2000018,2021,https://dblp.org/rec/journals/corr/abs-2111-12116,,abs/2111.12116
eaai,An efficient hybrid multi-objective memetic algorithm for the frequency assignment problem.,2000018,2020,https://dblp.org/rec/journals/eaai/KioucheBTK20,,87
sac,A game-theoretic approach for the multi-objective frequency assignment problem in mobile networks.,2000018,2020,https://dblp.org/rec/conf/sac/LaidouiTBL20,1002-1009,
asc,An effective multi-objective hybrid immune algorithm for the frequency assignment problem.,2000018,2019,https://dblp.org/rec/journals/asc/TayebBKK19,,85
ipm,Tracking community evolution in social networks: A survey.,2000018,2019,https://dblp.org/rec/journals/ipm/DakicheTSB19,1084-1102,56
iecon,Induction Machines Bearing Failures Detection and Diagnosis using Variable Neighborhood Search.,2000018,2019,https://dblp.org/rec/conf/iecon/KhamoudjTBB19,6010-6015,
isie,Improved Genetic Algorithm for the Fuzzy Flowshop Scheduling Problem with Predictive Maintenance Planning.,2000018,2019,https://dblp.org/rec/conf/isie/LadjTVDS19,1300-1305,
kes,A Novel Multi-Objective Immune Memetic Algorithm for the Frequency Assignment Problem.,2000018,2019,https://dblp.org/rec/conf/kes/BessedikTKK19,67-76,
kes,A New Hyper-Heuristic to Generate Effective Instance GA for the Permutation Flow Shop Problem.,2000018,2019,https://dblp.org/rec/conf/kes/BachaBBT19,1365-1374,
sac,Community evolution prediction in dynamic social networks using community features' change rates.,2000018,2019,https://dblp.org/rec/conf/sac/DakicheTSB19,2078-2085,
smc,An Integrated Guided Local Search considering Human Resource Constraints for the Single-machine Scheduling problem with Preventive Maintenance.,2000018,2019,https://dblp.org/rec/conf/smc/TouatTBSAK19,3799-3804,
or,Game theory-based integration of scheduling with flexible and periodic maintenance planning in the permutation flowshop sequencing problem.,2000018,2018,https://dblp.org/rec/journals/or/TayebBM18,221-255,18
etfa,Tailored Genetic Algorithm for Scheduling Jobs and Predictive Maintenance in a Permutation Flowshop.,2000018,2018,https://dblp.org/rec/conf/etfa/LadjTV18,524-531,
fuzzIEEE,Sensitive Analysis of Timeframe Type and Size Impact on Community Evolution Prediction.,2000018,2018,https://dblp.org/rec/conf/fuzzIEEE/DakicheTSB18,1-8,
kes,Nash-Pareto Genetic Algorithm for the Frequency Assignment Problem.,2000018,2018,https://dblp.org/rec/conf/kes/LaidouiBSBK18,282-291,
kes,An effective heuristic for the single-machine scheduling problem with flexible maintenance under human resource constraints.,2000018,2018,https://dblp.org/rec/conf/kes/TouatSB18,1395-1404,
asc,A hybridization of genetic algorithms and fuzzy logic for the single-machine scheduling with flexible maintenance problem under human resource constraints.,2000018,2017,https://dblp.org/rec/journals/asc/TouatBBB17,556-573,59
ictai,A Fuzzy Genetic Algorithm for Single-Machine Scheduling and Flexible Maintenance Planning Integration under Human Resource Constraints.,2000018,2017,https://dblp.org/rec/conf/ictai/TouatTBB17,551-558,
iecon,Classical mechanics-inspired optimization metaheuristic for induction machines bearing failures detection and diagnosis.,2000018,2017,https://dblp.org/rec/conf/iecon/KhamoudjTBB17,3803-3808,
kes,Research on Permutation Flow-shop Scheduling Problem based on Improved Genetic Immune Algorithm with vaccinated offspring.,2000018,2017,https://dblp.org/rec/conf/kes/TayebBBCB17,427-436,
kes,A Hybrid of Variable Neighbor Search and Fuzzy Logic for the permutation flowshop scheduling problem with predictive maintenance.,2000018,2017,https://dblp.org/rec/conf/kes/LadjTVDS17,663-672,
ijris,Combining graph decomposition techniques and metaheuristics for solving PCSPs. Application to MI-FAP.,2000018,2016,https://dblp.org/rec/journals/ijris/Sadeg-BelkacemH16,104-118,8
cec,An integrated prognostic based hybrid genetic-immune algorithm for scheduling jobs and predictive maintenance.,2000018,2016,https://dblp.org/rec/conf/cec/LadjTV16,2083-2089,
candie,Considering human resource constraints for real joint production and maintenance schedules.,2000018,2015,https://dblp.org/rec/journals/candie/Bouzidi-Hassini15,197-211,90
cdc,Game theoretic modelling of the integrated production and preventive maintenance scheduling problem in permutation flowshops.,2000018,2015,https://dblp.org/rec/conf/cdc/TayebMB15,5184-5189,
icaart,Decomposition Tehniques for Solving Frequency Assigment Problems (FAP) - A Top-Down Approach.,2000018,2014,https://dblp.org/rec/conf/icaart/Sadeg-BelkacemHTS14,477-484,
isie,Towards an artificial immune system for scheduling jobs and preventive maintenance operations in flowshop problems.,2000018,2014,https://dblp.org/rec/conf/isie/TayebB14,1065-1070,
